AccountStatus,Months,CreditHistory,Purpose,Amount,Savings,Employment,InstallmentRate,Sex,Status,Other,ResidenceSince,Property,Age,InstallmentPlans,Housing,CreditsHere,Job,LiablePeople,Telephone,ForeignWorker,Risk
0 - 200 DM,13.0,Critical,Radio/television,882.0,< 100 DM,< 1 year,4.0,Male,Single,Guarantor,4.0,Real estate,23.0,None,Own,2.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,15.0,Some paid back,Business,2687.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,26.0,None,Rent,1.0,Employee,1.0,Registered,Yes,Good
No account,6.0,Some paid back,Domestic appliances,1338.0,500 - 1000 DM,1 - 4 years,1.0,Male,Married/Separated/Widowed,None,4.0,Real estate,62.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Car (new),1287.0,>= 1000 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,37.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
< 0 DM,21.0,Some paid back,Radio/television,2606.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,28.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,18.0,Critical,Furniture/equipment,3612.0,< 100 DM,>= 7 years,3.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,37.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
< 0 DM,15.0,Critical,Furniture/equipment,1478.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,44.0,None,Own,2.0,Employee,2.0,Registered,Yes,Good
< 0 DM,12.0,Some paid back,Furniture/equipment,1289.0,< 100 DM,1 - 4 years,4.0,Male,Single,Guarantor,1.0,Bldg. society savings / Life insurance,21.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,12.0,Some paid back,Car (new),2859.0,Unknown/None,Unemployed,4.0,Male,Single,None,4.0,Unknown/None,38.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,9.0,Critical,Car (new),2799.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,2.0,Real estate,36.0,None,Rent,2.0,Employee,2.0,None,Yes,Good
No account,6.0,Critical,Car (new),6761.0,< 100 DM,4 - 7 years,1.0,Male,Single,None,3.0,Unknown/None,45.0,None,Own,2.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
0 - 200 DM,36.0,Some paid back,Education,2273.0,< 100 DM,4 - 7 years,3.0,Male,Single,None,1.0,Car or other,32.0,None,Own,2.0,Employee,2.0,None,Yes,Good
No account,30.0,Past delays,Business,4272.0,100 - 500 DM,1 - 4 years,2.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,26.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,6.0,Some paid back,Radio/television,1068.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,28.0,None,Own,1.0,Employee,2.0,None,Yes,Good
No account,30.0,Critical,Radio/television,5954.0,< 100 DM,4 - 7 years,3.0,Male,Single,Co-applicant,2.0,Car or other,38.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,15.0,Some paid back,Car (used),3029.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,2.0,Car or other,33.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,6.0,Some paid back,Car (new),1374.0,Unknown/None,Unemployed,4.0,Female,Married/Separated/Widowed,None,3.0,Bldg. society savings / Life insurance,75.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,48.0,No history,Business,12204.0,Unknown/None,1 - 4 years,2.0,Male,Single,None,2.0,Car or other,48.0,Bank,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,10.0,Some paid back,Car (new),1418.0,100 - 500 DM,1 - 4 years,3.0,Male,Single,None,2.0,Real estate,35.0,None,Rent,1.0,Unskilled resident,1.0,None,No,Good
No account,12.0,Critical,Radio/television,1240.0,Unknown/None,>= 7 years,4.0,Female,Married/Separated/Widowed,None,2.0,Real estate,38.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Some paid back,Radio/television,1967.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,20.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
< 0 DM,15.0,Some paid back,Car (new),1721.0,< 100 DM,< 1 year,2.0,Male,Single,None,3.0,Real estate,36.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Critical,Radio/television,930.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Real estate,65.0,None,Own,4.0,Employee,1.0,None,Yes,Good
< 0 DM,42.0,Critical,Repairs,3394.0,< 100 DM,Unemployed,4.0,Male,Single,Co-applicant,4.0,Car or other,65.0,None,Own,2.0,Unemployed/unskilled non-resident,1.0,None,Yes,Good
No account,42.0,Critical,Furniture/equipment,4042.0,500 - 1000 DM,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,36.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Critical,Car (new),3878.0,100 - 500 DM,< 1 year,4.0,Male,Married/Separated/Widowed,None,2.0,Car or other,37.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Some paid back,Car (new),1249.0,< 100 DM,< 1 year,4.0,Male,Married/Separated/Widowed,None,2.0,Real estate,28.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,20.0,Critical,Furniture/equipment,4272.0,< 100 DM,>= 7 years,1.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,24.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,22.0,Some paid back,Radio/television,2675.0,500 - 1000 DM,>= 7 years,3.0,Male,Single,None,4.0,Car or other,40.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Critical,Repairs,996.0,Unknown/None,4 - 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,23.0,None,Own,2.0,Employee,1.0,None,Yes,Good
< 0 DM,36.0,Some paid back,Car (used),5493.0,< 100 DM,>= 7 years,2.0,Male,Single,None,4.0,Unknown/None,42.0,None,For free,1.0,Employee,2.0,None,Yes,Good
No account,24.0,Some paid back,Furniture/equipment,3972.0,< 100 DM,4 - 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,25.0,None,Rent,1.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,12.0,Some paid back,Furniture/equipment,1474.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,33.0,Bank,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,7.0,Critical,Radio/television,730.0,Unknown/None,>= 7 years,4.0,Male,Single,None,2.0,Bldg. society savings / Life insurance,46.0,None,Rent,2.0,Unskilled resident,1.0,Registered,Yes,Good
< 0 DM,24.0,Some paid back,Furniture/equipment,4169.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,28.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Some paid back,Radio/television,886.0,Unknown/None,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,21.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,12.0,Past delays,Car (new),1344.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Real estate,43.0,None,Own,2.0,Unskilled resident,2.0,None,Yes,Good
< 0 DM,27.0,Critical,Business,2442.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,43.0,Stores,Own,4.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
0 - 200 DM,18.0,Some paid back,Car (new),6260.0,< 100 DM,4 - 7 years,3.0,Male,Single,None,3.0,Real estate,28.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
No account,24.0,Critical,Radio/television,2223.0,100 - 500 DM,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,52.0,Bank,Own,2.0,Employee,1.0,None,Yes,Good
No account,18.0,Critical,Radio/television,1582.0,>= 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,46.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,21.0,Some paid back,Furniture/equipment,3976.0,Unknown/None,4 - 7 years,2.0,Male,Single,None,3.0,Car or other,35.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
